X,Y,g1,g2,g3,g4,r1,r2,r3,r4,r5,r6,a1,a2,a3,a4,f1,f2
235290.9766,4149824.768,0.583938,0.489173,0.766746,0.599334,1.01E-09,0.000416037,1,7.10E-07,6.04E-06,0.0195483,0.00361861,0.00659141,0.049311,0.0201307,0.00107857,0
268290.9766,4118324.768,0.464489,0.447765,1.01298,0.771839,5.64E-07,0.000641597,2.31E-05,6.28E-05,0.0013976,0.00014466,0.334109,0.0258007,0.000219724,0.11113,0.0657957,0
272490.9766,4120274.768,0.56168,0.441544,1.06257,0.639762,2.72E-07,0.0038918,4.66E-05,4.79E-06,2.22E-05,8.61E-05,0.963341,0.644455,0.000277779,0.852593,0.0168205,0
268890.9766,4107374.768,0.54893,0.600345,0.00665079,0.85201,8.54E-05,0.99979,0.00121204,0.0583403,1.25E-05,1.71E-05,1,0.074553,0.822866,0.963341,0.635957,0.611771
255390.9766,4109024.768,0.570234,0.46946,-0.0167139,0.63991,7.26E-07,0.00409995,1,0.00126315,0.0144339,0.0239641,1.22E-05,0.212035,0.008339,0.212035,0.00428553,0
257640.9766,4144724.768,0.52207,0.4305,0.271635,0.563534,3.73E-09,0.00320337,1,8.74E-06,3.31E-06,0.000140829,1,0.993318,0.00124167,0.0975886,0.0142164,0
251040.9766,4125074.768,0.489665,0.586387,0.99952,0.788274,3.20E-08,0.000010654,1,0.00441753,1.15E-06,0.00451607,0.334109,0.000771636,0.334109,0.000506916,0.000022844,0
254340.9766,4132124.768,0.525542,0.49101,0.96604,0.65479,1.38E-08,0.192698,0.99979,1.25E-05,7.20E-06,0.0814708,0.963341,0.739468,0.00659141,0.739468,0.00011557,0
244590.9766,4145774.768,0.524094,0.558584,0.642198,0.801124,1.99E-09,0.000524812,0.603523,9.69E-05,0.11113,0.266808,0.00991392,0.0154375,0.334109,0.852593,0.0989079,0
277740.9766,4137524.768,0.510424,0.607748,0.867074,0.863015,9.70E-09,0.822866,0.000690191,8.74E-08,1.04E-07,1.08E-06,0.99979,0.963341,0.0891221,0.983052,0.116364,0
266940.9766,4103624.768,0.424699,0.363432,1.00017,0.764416,0.00149529,0.603523,0.00253172,0.000104047,1.71E-05,6.65E-06,0.911139,0.000118952,0.0658792,0.822866,0.989864,0.65313
261990.9766,4119374.768,0.495331,0.556136,-8.74E-09,0.839692,2.25E-07,2.30E-05,8.61E-05,0.266808,0.008339,0.126767,0.126767,0.0373808,0.0404871,0.644455,0.0115913,0
257490.9766,4122674.768,0.495331,0.556136,-8.74E-09,0.839692,7.66E-08,7.91E-06,0.266808,0.0476494,2.88E-05,0.54568,0.993318,0.00397645,0.0096624,0.242666,0.00570427,0
250140.9766,4146974.768,0.524094,0.558584,0.642198,0.801124,2.22E-09,7.93E-05,0.0814708,0.000106246,0.000146284,0.00234891,0.983052,0.41426,0.000366909,0.0438987,0.0175742,0
264540.9766,4142624.768,0.575949,0.512239,0.999014,0.554634,6.31E-09,3.25E-05,8.57E-05,8.85E-07,3.51E-07,9.44E-06,0.000366909,0.000366909,0.13926,0.000348617,0.000721927,0
262890.9766,4121774.768,0.344748,0.460052,-1.28339,0.836098,1.44E-07,0.000082523,0.000176481,0.00122063,0.000690191,0.852593,0.99979,0.54568,0.0216234,0.99979,0.969697,0.691835
269790.9766,4119524.768,0.620689,0.512007,1.00436,0.745947,4.31E-07,0.00276412,5.27E-05,1.84E-05,0.000173614,0.00022083,0.126767,0.049311,9.85E-05,0.822866,0.00485174,0
253890.9766,4135874.768,0.49023,0.553141,1.02002,0.873464,8.36E-09,0.0182226,0.0108335,6.19E-05,2.12E-05,0.99979,0.998812,0.242666,0.000814007,0.983052,0.000145323,0
273690.9766,4105874.768,0.454594,0.513725,0.996566,0.736713,7.15E-05,0.0258007,0.000018531,0.00419005,1.83E-06,1.63E-06,1,0.00045109,0.983052,0.00343923,0.00692094,0
247440.9766,4128824.768,0.377966,0.637264,0.999843,0.889316,1.45E-08,0.000284943,1,2.48E-05,9.91E-06,8.61E-05,0.00210001,0.000567779,0.911139,0.000840124,3.59E-05,0
253740.9766,4148624.768,0.567354,0.54116,0.99996,0.487161,2.17E-09,9.42E-05,0.54568,1.41E-05,9.87E-06,0.00854991,0.852593,0.951399,0.000331408,0.450913,0.0832967,0
249690.9766,4109474.768,0.312631,0.543847,0.996779,0.868815,1.61E-07,0.000705251,0.266808,0.00200624,0.000125305,0.993318,2.46E-06,0.54568,0.0123137,0.0239641,8.61E-05,0
261240.9766,4134074.768,0.423121,0.612613,0.999986,0.765583,1.57E-08,9.85E-05,0.304655,1.82E-06,7.65E-07,0.00258226,0.153079,0.153079,0.0096624,0.0583403,0.99999,0.760684
261240.9766,4138124.768,0.681411,0.550867,0.998213,0.497526,9.27E-09,3.32E-05,0.00193235,2.33E-06,1.30E-06,0.000353287,0.00574806,0.00805124,0.739468,0.00574806,0.0840324,0
277590.9766,4119524.768,0.56168,0.441544,1.06257,0.639762,1.96E-07,0.0814708,8.52E-06,3.05E-06,2.34E-06,4.10E-06,0.993318,1,0.000155463,0.911139,0.000948728,0
263190.9766,4150724.768,0.647869,0.563453,0.999907,0.466915,2.56E-09,0.963341,0.0536067,4.87E-07,2.76E-07,2.92E-05,0.911139,0.852593,9.65E-05,0.0975886,0.00169646,0
239340.9766,4124474.768,0.54446,0.498896,2.58E-06,0.713042,1.07E-08,0.000130044,0.175138,1.67E-05,8.02E-07,0.000282822,0.000157974,0.00072723,0.00188206,0.00193235,0.000893934,0
257640.9766,4113224.768,0.53876,0.519311,-0.0482536,0.770982,6.96E-07,0.304655,0.99979,0.993318,0.000106246,1,0.000118952,0.00369618,0.121952,0.911139,0.0454473,0
249690.9766,4149224.768,0.524094,0.558584,0.642198,0.801124,1.75E-09,0.000466641,1,2.40E-05,7.93E-05,0.822866,0.998812,0.993318,4.58E-05,0.993318,0.030303,0
240990.9766,4139024.768,0.573309,0.581005,0.996202,0.747208,3.29E-09,3.46E-05,0.0334507,2.54E-05,0.0144339,1,0.00659141,0.000272843,0.0278055,0.00561666,1.63E-05,0
237540.9766,4149374.768,0.54856,0.437961,0.00898335,0.562341,1.12E-09,0.000766678,0.822866,1.50E-06,1.85E-05,0.074553,0.450913,0.993318,0.54568,1,0.0022491,0
274740.9766,4114724.768,0.683201,0.506322,0.997258,0.377878,9.44E-07,0.000548118,2.96E-06,7.12E-05,5.81E-06,3.80E-06,0.0108335,0.242666,0.00594022,0.0135068,0.572323,0.344985
